alias_id,canonical_key,canonical_name_en,alias_text,alias_lang,alias_type,is_preferred,source,source_priority
ALIAS-001842,"rice vermicelli with tofu, fermented shrimp paste, and pork offal","Rice vermicelli with tofu, fermented shrimp paste, and pork offal","bun dau mam tom, long lon",vi,non_diacritic,False,NIN,1
ALIAS-001843,vermicelli with grilled rươi patties,Vermicelli with grilled rươi patties,bun cha ruoi,vi,non_diacritic,False,NIN,1
ALIAS-001844,office set meal (pork shoulder & tofu),Office Set Meal (Pork Shoulder & Tofu),"com suat van phong ( thit nac vai, dau phu)",vi,non_diacritic,False,NIN,1
ALIAS-001845,baby clam rice,Baby Clam Rice,con hen,vi,non_diacritic,False,NIN,1
ALIAS-001846,compressed rice ball,Compressed rice ball,com nam,vi,non_diacritic,False,NIN,1
ALIAS-001847,a small bowl of plain rice,A small bowl of plain rice,com te lung bat,vi,non_diacritic,False,NIN,1
ALIAS-001848,grilled pork with vermicelli noodles,Grilled Pork with Vermicelli Noodles,bun cha,vi,non_diacritic,False,NIN,1
ALIAS-001849,rice vermicelli with grilled pork and spring rolls,Rice vermicelli with grilled pork and spring rolls,bun cha nem,vi,non_diacritic,False,NIN,1
ALIAS-001850,rice vermicelli with fish springrolls,Rice vermicelli with fish springrolls,bun nem ca,vi,non_diacritic,False,NIN,1
ALIAS-001851,southern-style vietnamese beef vermicelli,Southern-style Vietnamese Beef Vermicelli,bun bo nam bo,vi,non_diacritic,False,NIN,1
ALIAS-001852,rice vermicelli with fried fish and dipping broth,Rice vermicelli with fried fish and dipping broth,bun ca cham,vi,non_diacritic,False,NIN,1
ALIAS-001853,red thick rice noodle mixed with meat and vegetables,Red thick rice noodle mixed with meat and vegetables,banh da do tron,vi,non_diacritic,False,NIN,1
ALIAS-001854,"red thick rice noodle soup with crab paste, beef and steamed pork-paste","Red thick rice noodle soup with crab paste, beef and steamed pork-paste","banh da cua, bo, gio",vi,non_diacritic,False,NIN,1
ALIAS-001855,mixed crab noodle salad with rice paper,Mixed crab noodle salad with rice paper,banh da cua tron,vi,non_diacritic,False,NIN,1
ALIAS-001856,red thick rice noodle soup with crab paste and steamed pork ear roll,Red thick rice noodle soup with crab paste and steamed pork ear roll,"banh da cua, gio",vi,non_diacritic,False,NIN,1
ALIAS-001857,"red thick rice noodle soup with crab paste, beef and meatball","Red thick rice noodle soup with crab paste, beef and meatball","banh da cua, bo, moc",vi,non_diacritic,False,NIN,1
ALIAS-001858,steamed small snail,Steamed small snail,oc be hap,vi,non_diacritic,False,NIN,1
ALIAS-001859,randia jelly,Randia jelly,thach gang,vi,non_diacritic,False,NIN,1
ALIAS-001860,tofu with caramel,Tofu with caramel,tao pho caramen,vi,non_diacritic,False,NIN,1
ALIAS-001861,corn soup,Corn soup,sua ngo,vi,non_diacritic,False,NIN,1
ALIAS-001862,drinkable yogurt with pandan leaves,Drinkable yogurt with pandan leaves,sua chua uong la nep,vi,non_diacritic,False,NIN,1
ALIAS-001863,yogurt with purple rice,Yogurt with purple rice,sua chua gao tim,vi,non_diacritic,False,NIN,1
ALIAS-001864,frozen yogurt with tapioca pearls,Frozen yogurt with tapioca pearls,kem sua chua tran chau,vi,non_diacritic,False,NIN,1
